,product,orderId,clientId,gender,orderdate,grossmarg
1,banana,582,230,女性,2017-01-08,10
2,banana,2,276,男性,2017-02-18,10
3,banana,725,277,女性,2017-02-03,10
4,banana,597,279,男性,2017-03-05,10
5,banana,761,92,女性,2017-02-08,10
6,banana,95,190,男性,2017-04-05,10
7,banana,426,241,男性,2017-01-30,10
8,banana,321,115,男性,2017-01-18,10
9,banana,239,15,女性,2017-03-15,10
10,banana,822,164,女性,2017-02-17,10
11,banana,430,167,女性,2017-03-16,10
12,banana,519,86,女性,2017-03-02,10
13,banana,914,246,男性,2017-02-27,10
14,banana,392,106,男性,2017-03-08,10
15,banana,505,51,男性,2017-03-01,10
16,banana,875,235,女性,2017-01-08,10
17,banana,328,115,男性,2017-02-05,10
18,banana,76,218,男性,2017-03-06,10
19,banana,1,166,男性,2017-04-07,10
20,banana,775,143,女性,2017-04-11,10
21,banana,135,26,男性,2017-01-08,10
22,banana,695,97,女性,2017-01-09,10
23,banana,858,295,女性,2017-01-15,10
24,banana,,258,女性,2017-01-12,10
25,banana,58,73,男性,2017-02-26,10
26,banana,165,225,女性,2017-04-02,10
27,banana,987,132,男性,2017-02-15,10
28,banana,505,51,男性,2017-03-01,10
29,banana,305,275,女性,2017-01-17,10
30,banana,786,290,女性,2017-02-18,10
31,banana,527,220,女性,2017-01-28,10
32,banana,903,196,女性,2017-03-12,10
33,banana,14,297,女性,2017-01-21,10
34,banana,58,73,男性,2017-02-26,10
35,banana,222,284,女性,2017-01-19,10
36,banana,82,266,男性,2017-03-18,10
37,banana,200,285,男性,2017-01-21,10
38,banana,639,260,女性,2017-03-12,10
39,banana,448,38,女性,2017-03-26,10
40,banana,560,224,女性,2017-01-02,10
41,banana,724,174,女性,2017-03-25,10
42,banana,113,250,女性,2017-01-12,10
43,banana,667,216,男性,2017-01-29,10
44,banana,428,31,男性,2017-02-22,10
45,banana,139,85,女性,2017-03-25,10
46,banana,18,47,男性,2017-02-14,10
47,banana,857,21,男性,2017-02-07,10
48,banana,751,117,男性,2017-03-24,10
49,banana,785,76,女性,2017-02-09,10
50,banana,375,72,男性,2017-04-04,10
51,banana,267,1,男性,2017-02-26,10
52,banana,301,253,女性,2017-04-05,10
53,banana,921,148,女性,2017-03-05,10
54,banana,534,168,女性,2017-02-01,10
